Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/2/2021 18:30,0,Business Hours,37,0,105,37,12,0,0,0,12,0,0,,,,0,0,,0,
1/2/2021 18:30,0,Business Hours,37,0,106,37,13,0,7,0,1,5,0,0,,,3,0,,0,
1/2/2021 19:00,0,Business Hours,38,0,107,38,11,0,0,0,11,0,0,,,,0,0,,0,
1/2/2021 19:00,0,Business Hours,38,0,108,38,22,0,9,0,5,8,0,0,,,8,0,,0,
1/2/2021 19:30,0,Business Hours,39,0,109,39,6,0,0,0,6,0,0,,,,0,0,,0,
1/2/2021 19:30,0,Business Hours,39,0,110,39,8,0,6,0,1,1,0,0,,,0,0,,0,
1/2/2021 20:00,0,Business Hours,40,0,111,40,1,0,0,0,1,0,0,,,,0,0,,0,
1/2/2021 20:00,0,Business Hours,40,0,112,40,1,0,1,0,0,0,0,0,,,0,0,,0,
1/2/2021 20:30,0,Business Hours,41,0,113,41,1,0,0,0,1,0,0,,,,0,0,,0,
1/2/2021 20:30,0,Business Hours,41,0,114,41,7,0,0,0,3,4,0,0,,,4,0,,0,
1/2/2021 21:00,0,Business Hours,42,0,115,42,4,0,0,0,4,0,0,,,,0,0,,0,
1/2/2021 21:00,0,Business Hours,42,0,116,42,8,0,3,0,2,3,0,0,,,3,0,,0,
1/2/2021 21:30,0,Business Hours,43,0,117,43,3,0,0,0,3,0,0,,,,0,0,,0,
1/2/2021 21:30,0,Business Hours,43,0,118,43,3,0,0,0,0,3,0,0,,,3,0,,0,
1/2/2021 22:00,0,Out of BH,44,0,119,44,4,0,1,0,2,1,0,0,,,1,0,,0,
1/2/2021 22:30,0,Out of BH,45,0,120,45,3,0,0,0,3,0,0,,,,0,0,,0,
1/2/2021 22:30,0,Out of BH,45,0,121,45,5,0,3,0,1,1,0,0,,,1,0,,0,
1/2/2021 23:00,0,Out of BH,46,0,122,46,3,0,0,0,3,0,0,,,,0,0,,0,
1/2/2021 23:00,0,Out of BH,46,0,123,46,7,0,3,0,2,2,0,0,,,2,0,,0,
1/2/2021 23:30,0,Out of BH,47,0,124,47,1,0,0,0,1,0,0,,,,0,0,,0,
1/2/2021 23:30,0,Out of BH,47,0,125,47,1,0,0,0,0,1,0,0,,,1,0,,0,
1/3/2021 1:00,0,Out of BH,2,0,126,2,2,0,1,0,1,0,0,0,,,0,0,,0,
1/3/2021 1:30,0,Out of BH,3,0,127,3,2,0,1,0,1,0,0,0,,,0,0,,0,
1/3/2021 5:00,0,Out of BH,10,0,128,10,1,0,1,0,0,0,0,0,,,0,0,,0,
1/3/2021 5:00,0,Out of BH,10,0,129,10,1,0,0,0,1,0,0,,,,0,0,,0,
